iteration,error,relative_error,iter_time,nnls_time,qubo_build_time,annealing_time,postprocess_time,cumulative_time,method,data_source,matrix_size,rank,seed
1,2.861237987705759e-15,1.6856989091425302e-16,0.010759666911326349,0.00018866604659706354,0.00014091411139816046,0.010385705973021686,1.6246107406914234e-05,0.010759666911326349,NBMF_SA,synthetic,30x30,2,42
2,2.861237987705759e-15,1.6856989091425302e-16,0.009599208016879857,0.0001574999187141657,0.00011512113269418478,0.00929428730159998,1.3752607628703117e-05,0.020358874928206205,NBMF_SA,synthetic,30x30,2,42
3,2.861237987705759e-15,1.6856989091425302e-16,0.010224082972854376,0.0002572500379756093,0.00012083479668945074,0.009813955170102417,1.4331424608826637e-05,0.03058295790106058,NBMF_SA,synthetic,30x30,2,42
4,2.861237987705759e-15,1.6856989091425302e-16,0.009960082941688597,0.00016066699754446745,0.0001231672940775752,0.009645420126616955,1.4079269021749496e-05,0.04054304084274918,NBMF_SA,synthetic,30x30,2,42
5,2.861237987705759e-15,1.6856989091425302e-16,0.009917167015373707,0.00015533401165157557,0.00011695676948875189,0.009615415125153959,1.3168202713131905e-05,0.050460207858122885,NBMF_SA,synthetic,30x30,2,42
6,2.861237987705759e-15,1.6856989091425302e-16,0.009649749961681664,0.00015491608064621687,0.00011625117622315884,0.009348409832455218,1.3498007319867611e-05,0.06010995781980455,NBMF_SA,synthetic,30x30,2,42
7,2.861237987705759e-15,1.6856989091425302e-16,0.009621624951250851,0.00015770795289427042,0.000110417022369802,0.009324414189904928,1.2832111679017544e-05,0.0697315827710554,NBMF_SA,synthetic,30x30,2,42
8,2.861237987705759e-15,1.6856989091425302e-16,0.009297124925069511,0.00015087495557963848,0.00011358316987752914,0.009004748077131808,1.2624193914234638e-05,0.07902870769612491,NBMF_SA,synthetic,30x30,2,42
9,2.861237987705759e-15,1.6856989091425302e-16,0.009561499929986894,0.00014599994756281376,0.00011171307414770126,0.009275293094106019,1.2708129361271858e-05,0.0885902076261118,NBMF_SA,synthetic,30x30,2,42
10,2.861237987705759e-15,1.6856989091425302e-16,0.009552375064231455,0.00014575000386685133,0.00011936819646507502,0.009259625221602619,1.2540840543806553e-05,0.09814258269034326,NBMF_SA,synthetic,30x30,2,42
11,2.861237987705759e-15,1.6856989091425302e-16,0.009364166064187884,0.00014050002209842205,0.00010816683061420918,0.009087249985896051,1.2459931895136833e-05,0.10750674875453115,NBMF_SA,synthetic,30x30,2,42
12,2.861237987705759e-15,1.6856989091425302e-16,0.009629125008359551,0.00014429097063839436,0.00011295778676867485,0.009335456765256822,2.0459061488509178e-05,0.1171358737628907,NBMF_SA,synthetic,30x30,2,42
13,2.861237987705759e-15,1.6856989091425302e-16,0.009398875059559941,0.00015395903028547764,0.0001094151521101594,0.009107248042710125,1.2661912478506565e-05,0.12653474882245064,NBMF_SA,synthetic,30x30,2,42
14,2.861237987705759e-15,1.6856989091425302e-16,0.009595667012035847,0.00014879205264151096,0.0001132078468799591,0.009304414154030383,1.2958073057234287e-05,0.13613041583448648,NBMF_SA,synthetic,30x30,2,42
15,2.861237987705759e-15,1.6856989091425302e-16,0.009121583076193929,0.00014716701116412878,0.00010604364797472954,0.0088332942686975,1.603888813406229e-05,0.1452519989106804,NBMF_SA,synthetic,30x30,2,42
1,2.861237987705759e-15,1.6856989091425302e-16,0.020199958933517337,0.00014133297372609377,0.00010900106281042099,0.019921292434446514,1.2748991139233112e-05,0.020199958933517337,NBMF_PathIntegral,synthetic,30x30,2,42
2,2.861237987705759e-15,1.6856989091425302e-16,0.020615875022485852,0.00014974991790950298,0.00011171028017997742,0.020324502023868263,1.3083801604807377e-05,0.04081583395600319,NBMF_PathIntegral,synthetic,30x30,2,42
3,2.861237987705759e-15,1.6856989091425302e-16,0.020190667011775076,0.00014637503772974014,0.00010854064021259546,0.019907169975340366,1.2457836419343948e-05,0.061006500967778265,NBMF_PathIntegral,synthetic,30x30,2,42
4,2.861237987705759e-15,1.6856989091425302e-16,0.02152316691353917,0.00014954200014472008,0.00012637372128665447,0.021208666148595512,1.4246208593249321e-05,0.08252966788131744,NBMF_PathIntegral,synthetic,30x30,2,42
5,2.861237987705759e-15,1.6856989091425302e-16,0.021222374984063208,0.0001634580548852682,0.00013870303519070148,0.020885035977698863,1.5874975360929966e-05,0.10375204286538064,NBMF_PathIntegral,synthetic,30x30,2,42
6,2.861237987705759e-15,1.6856989091425302e-16,0.021240541944280267,0.00015883299056440592,0.00012146006338298321,0.020929086720570922,1.3999058865010738e-05,0.12499258480966091,NBMF_PathIntegral,synthetic,30x30,2,42
7,2.861237987705759e-15,1.6856989091425302e-16,0.02006654196884483,0.00019758404232561588,0.00011178979184478521,0.019727459992282093,1.2456672266125679e-05,0.14505912677850574,NBMF_PathIntegral,synthetic,30x30,2,42
8,2.861237987705759e-15,1.6856989091425302e-16,0.020684291957877576,0.00014854094479233027,0.00011079187970608473,0.02039566356688738,1.3203127309679985e-05,0.16574341873638332,NBMF_PathIntegral,synthetic,30x30,2,42
9,2.861237987705759e-15,1.6856989091425302e-16,0.020603833021596074,0.0001461660722270608,0.00011070712935179472,0.020318206632509828,1.3036886230111122e-05,0.1863472517579794,NBMF_PathIntegral,synthetic,30x30,2,42
10,2.861237987705759e-15,1.6856989091425302e-16,0.02077487506903708,0.0001460830681025982,0.00011857994832098484,0.020480662817135453,1.3376469723880291e-05,0.20712212682701647,NBMF_PathIntegral,synthetic,30x30,2,42
11,2.861237987705759e-15,1.6856989091425302e-16,0.020527458051219583,0.00014058302622288465,0.0001117512583732605,0.020245289779268205,1.3499287888407707e-05,0.22764958487823606,NBMF_PathIntegral,synthetic,30x30,2,42
12,2.861237987705759e-15,1.6856989091425302e-16,0.020017875009216368,0.00014662498142570257,0.00011641706805676222,0.019725669408217072,1.2956676073372364e-05,0.24766745988745242,NBMF_PathIntegral,synthetic,30x30,2,42
13,2.861237987705759e-15,1.6856989091425302e-16,0.02027316694147885,0.0001413749996572733,0.00010716589167714119,0.01999641745351255,1.2583215720951557e-05,0.26794062682893127,NBMF_PathIntegral,synthetic,30x30,2,42
14,2.861237987705759e-15,1.6856989091425302e-16,0.019904833054170012,0.0001520839286968112,0.00010666623711585999,0.019618791760876775,1.2413249351084232e-05,0.2878454598831013,NBMF_PathIntegral,synthetic,30x30,2,42
15,2.861237987705759e-15,1.6856989091425302e-16,0.020412542042322457,0.00014041701797395945,0.0001139546511694789,0.020128956763073802,1.278822310268879e-05,0.30825800192542374,NBMF_PathIntegral,synthetic,30x30,2,42
1,2.861237987705759e-15,1.6856989091425302e-16,0.002326540998183191,0.00013883400242775679,0.00010574725456535816,0.002054914948530495,1.1832686141133308e-05,0.002326540998183191,NBMF_Exact,synthetic,30x30,2,42
2,2.861237987705759e-15,1.6856989091425302e-16,0.0025099579943343997,0.00014791707508265972,0.00010033219587057829,0.0022355401888489723,1.1580181308090687e-05,0.0048364989925175905,NBMF_Exact,synthetic,30x30,2,42
3,2.861237987705759e-15,1.6856989091425302e-16,0.002352040959522128,0.00014341692440211773,9.824393782764673e-05,0.0020840851357206702,1.1245603673160076e-05,0.007188539952039719,NBMF_Exact,synthetic,30x30,2,42
4,2.861237987705759e-15,1.6856989091425302e-16,0.0024952080566436052,0.00015891599468886852,0.00010916485916823149,0.0022008350351825356,1.1288910172879696e-05,0.009683748008683324,NBMF_Exact,synthetic,30x30,2,42
5,2.861237987705759e-15,1.6856989091425302e-16,0.0022390830563381314,0.0001555420458316803,9.525101631879807e-05,0.0019619956146925688,1.124734990298748e-05,0.011922831065021455,NBMF_Exact,synthetic,30x30,2,42
6,2.861237987705759e-15,1.6856989091425302e-16,0.0024675829336047173,0.00014616595581173897,0.00010233058128505945,0.00219420762732625,1.132860779762268e-05,0.014390413998626173,NBMF_Exact,synthetic,30x30,2,42
7,2.861237987705759e-15,1.6856989091425302e-16,0.002187207923270762,0.00013949989806860685,9.462481830269098e-05,0.0019293732475489378,1.0661198757588863e-05,0.016577621921896935,NBMF_Exact,synthetic,30x30,2,42
8,2.861237987705759e-15,1.6856989091425302e-16,0.0024317919742316008,0.0001412919955328107,0.00010020844638347626,0.0021663742372766137,1.0955147445201874e-05,0.019009413896128535,NBMF_Exact,synthetic,30x30,2,42
9,2.861237987705759e-15,1.6856989091425302e-16,0.0022289170883595943,0.00014350004494190216,9.716488420963287e-05,0.001963748480193317,1.1376570910215378e-05,0.02123833098448813,NBMF_Exact,synthetic,30x30,2,42
10,2.861237987705759e-15,1.6856989091425302e-16,0.002179207978770137,0.0001427079550921917,9.533041156828403e-05,0.0019177489448338747,1.0955613106489182e-05,0.023417538963258266,NBMF_Exact,synthetic,30x30,2,42
11,2.861237987705759e-15,1.6856989091425302e-16,0.002418332966044545,0.000142207951284945,9.64142382144928e-05,0.002155164838768542,1.1247117072343826e-05,0.02583587192930281,NBMF_Exact,synthetic,30x30,2,42
12,2.861237987705759e-15,1.6856989091425302e-16,0.0021853750804439187,0.00013766600750386715,9.466626215726137e-05,0.001929122838191688,1.1039432138204575e-05,0.02802124700974673,NBMF_Exact,synthetic,30x30,2,42
13,2.861237987705759e-15,1.6856989091425302e-16,0.0024584170896559954,0.00014395907055586576,9.983323980122805e-05,0.002183665754273534,1.6372883692383766e-05,0.030479664099402726,NBMF_Exact,synthetic,30x30,2,42
14,2.861237987705759e-15,1.6856989091425302e-16,0.0022451250115409493,0.00014670798555016518,9.5497933216393e-05,0.0019742895383387804,1.0707182809710503e-05,0.032724789110943675,NBMF_Exact,synthetic,30x30,2,42
15,2.861237987705759e-15,1.6856989091425302e-16,0.0024470420321449637,0.00013879092875868082,9.950192179530859e-05,0.0021845001028850675,1.0788440704345703e-05,0.03517183114308864,NBMF_Exact,synthetic,30x30,2,42
