method,rank,seed,total_runtime,nnls_time,qubo_build_time,annealing_time,postprocess_time,num_qubo_solves,avg_qubo_solve_time
NBMF_SA,5,42,0.8467796249315143,0.013118416303768754,0.014036789303645492,0.8155206188093871,0.0008697798475623131,1500,0.0005436804125395914
NBMF_PathIntegral,5,42,3.738143500057049,0.012898666900582612,0.015721683739684522,3.7075106302509084,0.0009177107131108642,1500,0.0024716737535006054
NBMF_SA,5,43,0.7898440840654075,0.013240085099823773,0.013299969490617514,0.7616465059109032,0.0008014419581741095,1500,0.0005077643372739355
NBMF_PathIntegral,5,43,3.6809090831084177,0.012792666908353567,0.015358261065557599,3.650804964825511,0.0009318279335275292,1500,0.0024338699765503406
NBMF_SA,5,44,0.7858302909880877,0.013569457805715501,0.013281484716571867,0.7573528371285647,0.0007692527724429965,1500,0.0005049018914190432
NBMF_PathIntegral,5,44,3.7928250420372933,0.012591538019478321,0.01648303074762225,3.761747752316296,0.0009689532453194261,1500,0.0025078318348775307
NBMF_SA,5,45,0.7641074169659987,0.012589540798217058,0.012657230137847364,0.7373608043417335,0.0007393755950033665,1500,0.0004915738695611556
NBMF_PathIntegral,5,45,3.828168167034164,0.012995416182093322,0.017340457998216152,3.79579440492671,0.0010110767325386405,1500,0.0025305296032844733
NBMF_SA,5,46,0.8056917079957202,0.013194498023949564,0.013965464429929852,0.7768244027392939,0.0008264397038146853,1500,0.0005178829351595292
NBMF_PathIntegral,5,46,3.951463166042231,0.013017704826779664,0.01817926939111203,3.9181319560157135,0.0010703556472435594,1500,0.0026120879706771423
