k,elbow_proxy
4,0.9827652789894388
5,0.9795402005765126
6,0.9800425892199696
7,0.9830344554511203
8,0.976330697101666
9,0.9708890156305484
10,0.9698921735524471
11,0.9740358372185436
12,0.9700725411162993
