method,silhouette
kernel_fusion_trainable,0.2569009649183506
quantum_lloyd,0.2569009649183506
HDBSCAN_tuned,0.10864651415888464
ensemble_hdb_qubo,0.10733160405950183
HDBSCAN,0.08686235607844023
QUBO,-0.016142092062880573
