latent_feature,feature_idx,variance,variance_share_pct,selected_by_qubo
latent_00,0,16.86856460571289,84.54619498268609,1
latent_01,1,0.3486746847629547,1.7475771396406579,1
latent_02,2,0.26063698530197144,1.3063272361405938,1
latent_03,3,0.2561754882335663,1.2839659617893477,1
latent_04,4,0.13569815456867218,0.6801267863104454,1
latent_05,5,0.12883014976978302,0.645703959802003,0
latent_06,6,0.1186225563287735,0.594542927103625,0
latent_07,7,0.1087900698184967,0.5452619514490067,1
latent_08,8,0.10632317513227463,0.5328977364717319,0
latent_09,9,0.09229114651679993,0.46256841948143074,1
latent_10,10,0.09085173159837723,0.4553539909157224,1
latent_12,12,0.08949574083089828,0.4485576888887456,0
latent_11,11,0.08947362750768661,0.448446855668512,0
latent_13,13,0.08451313525438309,0.4235845893725481,1
latent_14,14,0.08057204633951187,0.4038316299697097,0
latent_16,16,0.07429220527410507,0.3723567131889215,0
latent_15,15,0.0742427408695221,0.37210879480983433,1
latent_17,17,0.07043624669313431,0.3530304318097989,0
latent_19,19,0.06925791501998901,0.34712456716033857,1
latent_18,18,0.0689413771033287,0.3455380613107352,1
latent_21,21,0.06676139682531357,0.33461187749180743,0
latent_20,20,0.06647881120443344,0.3331955424591193,0
latent_23,23,0.06561049073934555,0.32884347142849263,0
latent_22,22,0.0655641257762909,0.3286110876247482,1
latent_24,24,0.06489887833595276,0.32527683002090246,1
latent_25,25,0.062161073088645935,0.31155479606757897,0
latent_26,26,0.06117994338274002,0.30663731877429856,0
latent_27,27,0.05876990780234337,0.2945580848348311,0
latent_28,28,0.05736081302165985,0.28749562250555816,1
latent_29,29,0.056922852993011475,0.2853005421983584,1
latent_30,30,0.055856917053461075,0.2799580112900818,0
latent_31,31,0.05364193394780159,0.2688563913294232,0
