k,elbow_proxy
4,0.9719791078097969
5,0.966399054577264
6,0.9608118446388411
7,0.9533879681471329
8,0.9477182389684542
9,0.9415106202200839
10,0.937319668119112
11,0.9336905446948572
12,0.9401092918436923
24,0.9254720529415862
