model,rmse,mae,hr@10,ndcg@10,precision@10,k_clusters
item_cf_cosine,1.1249434026900829,0.5355931437015533,0.1575,0.07894899117342975,0.01575,16
content_based_cosine,1.1297571164833098,0.5573602445293,0.095,0.056617883531405046,0.0095,16
