sparsity_level,retained_fraction,rmse_classical,rmse_hybrid,hr10_classical,hr10_hybrid,rmse_delta_hybrid_minus_classical,hr10_delta_hybrid_minus_classical,rmse_growth_vs_80_classical_pct,rmse_growth_vs_80_hybrid_pct,hr_retention_vs_80_classical_pct,hr_retention_vs_80_hybrid_pct
0.8,0.19999999999999996,0.8505403667349046,0.8505403667349046,0.16,0.16,0.0,0.0,0.0,0.0,99.99999375000039,99.99999375000039
0.9,0.09999999999999998,0.479224316249493,0.479224316249493,0.125,0.125,0.0,0.0,-43.65648717475795,-43.65648717475795,78.12499511718781,78.12499511718781
0.95,0.050000000000000044,0.5803202970195729,0.5803202970195729,0.0,0.0,0.0,0.0,-31.770398808421717,-31.770398808421717,0.0,0.0
0.99,0.010000000000000009,,,,,,,,,,
