method,k,silhouette,davies_bouldin,objective,iters
vqe_adiabatic,4,0.06535441544620295,0.760207313255757,341.2365780526417,2
vqe_adiabatic,5,0.07795425494158666,0.7761944774675903,298.3880129903033,2
vqe_adiabatic,6,0.0869425548199165,0.7966353081551284,267.3638337099836,2
vqe_adiabatic,7,0.0988703693971468,0.687811234153311,243.7176084039724,2
vqe_adiabatic,8,0.10625770707363646,0.7136086853042126,224.08707437833317,2
vqe_adiabatic,9,0.1294491308509566,0.7197897374230817,203.9928278865661,2
vqe_adiabatic,10,0.1382922362972716,0.7457787080347054,190.00760607813174,2
