metric,n_pairs,mean_delta_hybrid_minus_classical,delta_ci_low_empirical,delta_ci_high_empirical,hybrid_mean,classical_mean
hr@10,12,0.009722222222222222,-0.012083333333333335,0.04541666666666666,0.03333333333333333,0.02361111111111111
ndcg@10,12,0.0059643183062082,-0.010754031005860937,0.02371187191684271,0.01805385176572947,0.012089533459521268
precision@10,12,0.0009722222222222221,-0.0012083333333333338,0.004541666666666666,0.0033333333333333335,0.0023611111111111116
mrr@10,12,0.004885912698412698,-0.013851190476190474,0.024513062169312167,0.013611662257495591,0.008725749559082892
map@10,12,0.004885912698412698,-0.013851190476190474,0.024513062169312167,0.013611662257495591,0.008725749559082892
novelty,12,-0.0011204201895976356,-0.0021514476044065837,0.00026200999231339124,0.8563010931762113,0.857421513365809
