sparsity_drop,metric,n_pairs,hybrid_mean,classical_mean,mean_delta,p_value_paired_ttest
0.0,hr@10,3,0.0333333333333333,0.0222222222222222,0.011111111111111098,0.5285954792089689
0.0,ndcg@10,3,0.019013910136600764,0.0082809473116963,0.010732962824904465,0.1289399609785056
0.8,hr@10,3,0.038888888888888834,0.022222222222222168,0.016666666666666666,0.42264973081037427
0.8,ndcg@10,3,0.017159587417101132,0.011791100886951199,0.005368486530149934,0.6740043565424878
0.9,hr@10,3,0.038888888888888834,0.033333333333333263,0.005555555555555568,0.42264973081037427
0.9,ndcg@10,3,0.0203889685908384,0.018899749414763266,0.001489219176075133,0.8603174408955993
0.95,hr@10,3,0.022222222222222168,0.016666666666666632,0.005555555555555533,0.42264973081037427
0.95,ndcg@10,3,0.015652940918377368,0.009386336224674165,0.0062666046937032,0.15899808031320695
