config,sparsity_drop,hr@10,ndcg@10,novelty
Full Hybrid,0.0,0.0033333333333333335,0.0033333333333333335,0.9884875736612881
Full Hybrid,0.8,0.01,0.005880032971355755,0.9890829105816056
No MMR,0.0,0.006666666666666667,0.0047689218602446435,0.9934689213425585
No MMR,0.8,0.006666666666666667,0.004520690623693407,0.9947549064821944
No Novelty Boost,0.0,0.0033333333333333335,0.0033333333333333335,0.9884875736612881
No Novelty Boost,0.8,0.01,0.005880032971355755,0.9890829105816056
No Shrinkage,0.0,0.0033333333333333335,0.0033333333333333335,0.9884875736612881
No Shrinkage,0.8,0.01,0.005880032971355755,0.9890829105816056
