seed,sparsity_drop,hr@10_hybrid,hr@10_classical,ndcg@10_hybrid,ndcg@10_classical,precision@10_hybrid,precision@10_classical,mrr@10_hybrid,mrr@10_classical,map@10_hybrid,map@10_classical,novelty_hybrid,novelty_classical
42,0.0,0.03333333333333333,0.016666666666666666,0.010813303501984369,0.008333333333333333,0.0033333333333333335,0.0016666666666666668,0.004464285714285714,0.005555555555555555,0.004464285714285714,0.005555555555555555,0.8567747886241572,0.8575518831668167
42,0.8,0.06666666666666667,0.016666666666666666,0.03465791280320759,0.008333333333333333,0.006666666666666667,0.0016666666666666668,0.025297619047619048,0.005555555555555555,0.025297619047619048,0.005555555555555555,0.8555403535741959,0.8575557263643571
42,0.9,0.016666666666666666,0.016666666666666666,0.005257747946428813,0.00593678645180037,0.0016666666666666668,0.0016666666666666668,0.0020833333333333333,0.0027777777777777775,0.0020833333333333333,0.0027777777777777775,0.8554704073789615,0.8575557263643571
42,0.95,0.016666666666666666,0.016666666666666666,0.007177942634556551,0.00593678645180037,0.0016666666666666668,0.0016666666666666668,0.004166666666666667,0.0027777777777777775,0.004166666666666667,0.0027777777777777775,0.8554178836792433,0.85759441455293
52,0.0,0.03333333333333333,0.0,0.012895093574484722,0.0,0.0033333333333333335,0.0,0.006666666666666667,0.0,0.006666666666666667,0.0,0.8571314373559019,0.8585798104022764
52,0.8,0.03333333333333333,0.03333333333333333,0.011265293892540492,0.02222222222222222,0.0033333333333333335,0.0033333333333333335,0.005000000000000001,0.019047619047619046,0.005000000000000001,0.019047619047619046,0.8568841916474726,0.8579754035357635
52,0.9,0.016666666666666666,0.016666666666666666,0.006447546787242361,0.016666666666666666,0.0016666666666666668,0.0016666666666666668,0.0033333333333333335,0.016666666666666666,0.0033333333333333335,0.016666666666666666,0.8568841916474726,0.8575944145529298
52,0.95,0.016666666666666666,0.0,0.006447546787242361,0.0,0.0016666666666666668,0.0,0.0033333333333333335,0.0,0.0033333333333333335,0.0,0.8568447348193917,0.8581601332308699
62,0.0,0.03333333333333333,0.05,0.03333333333333333,0.01650950860175561,0.0033333333333333335,0.005000000000000001,0.03333333333333333,0.0070105820105820105,0.03333333333333333,0.0070105820105820105,0.8571068408916438,0.8577893927748105
62,0.8,0.016666666666666666,0.016666666666666666,0.005555555555555555,0.004817747105298131,0.0016666666666666668,0.0016666666666666668,0.0023809523809523807,0.0016666666666666668,0.0023809523809523807,0.0016666666666666668,0.8553671534717107,0.8562764540097583
62,0.9,0.08333333333333333,0.06666666666666667,0.04946161103884413,0.03409579512582296,0.008333333333333333,0.006666666666666667,0.039947089947089946,0.024603174603174606,0.039947089947089946,0.024603174603174606,0.8553709966692511,0.8562249551627176
62,0.95,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.02222222222222222,0.0033333333333333335,0.0033333333333333335,0.03333333333333333,0.019047619047619046,0.03333333333333333,0.019047619047619046,0.8568201383551334,0.8561998462721206
