k,inertia,silhouette
16,9874685.0,0.7060120701789856
24,9576900.0,0.2918374240398407
32,9557276.0,0.008389201015233994
40,9470230.0,0.04506298154592514
48,9834581.0,-0.14120930433273315
64,9773659.0,-0.20245344936847687
