iter,n,k,queries,elapsed_sec
1,800,6,4806,8.789999992586672e-05
2,800,6,4806,3.809999907389283e-05
3,800,6,4806,3.229999856557697e-05
4,800,6,4806,3.100000321865082e-05
5,800,6,4806,2.9799994081258774e-05
6,800,6,4806,2.9400005587376654e-05
7,800,6,4806,2.8700000257231295e-05
8,800,6,4806,2.9100003303028643e-05
9,800,6,4806,2.849999873433262e-05
10,800,6,4806,2.8399997972883284e-05
