config,sparsity_drop,hr@10,ndcg@10,novelty
Full Hybrid,0.0,0.006666666666666667,0.00420619835714305,0.979491424417444
Full Hybrid,0.8,0.0,0.0,0.9794917998737833
No MMR,0.0,0.006666666666666667,0.00420619835714305,0.9813392208082701
No MMR,0.8,0.0,0.0,0.9813507640935929
No Novelty Boost,0.0,0.006666666666666667,0.00420619835714305,0.979491424417444
No Novelty Boost,0.8,0.0,0.0,0.9794917998737833
No Shrinkage,0.0,0.006666666666666667,0.00420619835714305,0.979491424417444
No Shrinkage,0.8,0.0,0.0,0.9794917998737833
