seed,sparsity_drop,hr@10_hybrid,hr@10_classical,ndcg@10_hybrid,ndcg@10_classical,precision@10_hybrid,precision@10_classical,mrr@10_hybrid,mrr@10_classical,map@10_hybrid,map@10_classical,novelty_hybrid,novelty_classical
42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8508138615285101,0.8438974764540982
42,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8507732004058158,0.8435952341010254
42,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8506297281536369,0.8438754683218738
42,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8507867407993259,0.8435952341010254
52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496465118508435,0.8427301267764314
52,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849598461427856,0.8427301267764314
52,0.9,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0016666666666666668,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.849598461427856,0.8427301267764314
52,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.849598461427856,0.8427301267764314
62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8497434514822573,0.8428091723184866
62,0.8,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0016666666666666668,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.8496257019835313,0.8428091723184866
62,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496257019835313,0.8427301267764314
62,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8496257019835313,0.8428091723184866
