k,elbow_proxy
4,0.9583798546405792
5,0.9522634871018111
6,0.9472489178306853
7,0.9431967790055678
8,0.937884560168205
9,0.932202303394078
10,0.9266474244036167
11,0.9232235046149644
12,0.9198009885249472
