sparsity_drop,hr_hybrid_mean,hr_hybrid_sem,hr_classical_mean,hr_classical_sem,ndcg_hybrid_mean,ndcg_hybrid_sem,ndcg_classical_mean,ndcg_classical_sem,n_pairs,p_value_hr,p_value_ndcg
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,
0.8,0.005555555555555533,0.005555555555555535,0.0,0.0,0.005555555555555533,0.005555555555555535,0.0,0.0,3,0.42264973081037427,0.42264973081037427
0.9,0.005555555555555533,0.005555555555555535,0.0,0.0,0.005555555555555533,0.005555555555555535,0.0,0.0,3,0.42264973081037427,0.42264973081037427
0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,,
