metric,n_pairs,mean_delta_hybrid_minus_classical,delta_ci_low_empirical,delta_ci_high_empirical,hybrid_mean,classical_mean
hr@10,12,0.002777777777777778,0.0,0.016666666666666666,0.002777777777777778,0.0
ndcg@10,12,0.002777777777777778,0.0,0.016666666666666666,0.002777777777777778,0.0
precision@10,12,0.0002777777777777778,0.0,0.0016666666666666668,0.0002777777777777778,0.0
mrr@10,12,0.002777777777777778,0.0,0.016666666666666666,0.002777777777777778,0.0
map@10,12,0.002777777777777778,0.0,0.016666666666666666,0.002777777777777778,0.0
novelty,12,0.00691354252375867,0.006798575662440412,0.007154350500475063,0.8500003395083953,0.8430867969846366
