iteration,error,relative_error,iter_time,method,seed,rank,tier,cumulative_time,nnls_time,qubo_build_time,annealing_time,postprocess_time
1,68.66425947247508,0.37959815521260226,0.0025235419161617756,Repo_ALS,42,5,primary,0.0025235419161617756,,,,
2,61.70306445947223,0.34111442575404294,0.001532958005554974,Repo_ALS,42,5,primary,0.00405649992171675,,,,
3,59.82835242118899,0.330750413431556,0.0011962499702349305,Repo_ALS,42,5,primary,0.00525274989195168,,,,
4,58.729226806437396,0.3246740928113085,0.0012908750213682652,Repo_ALS,42,5,primary,0.006543624913319945,,,,
5,58.24251130128051,0.32198337264203347,0.0012019160203635693,Repo_ALS,42,5,primary,0.007745540933683515,,,,
6,58.0867794518529,0.3211224367897468,0.0011844170512631536,Repo_ALS,42,5,primary,0.008929957984946668,,,,
7,58.040595706848144,0.32086711816344393,0.0011708340607583523,Repo_ALS,42,5,primary,0.01010079204570502,,,,
8,58.026314939006035,0.3207881694764628,0.0011496249353513122,Repo_ALS,42,5,primary,0.011250416981056333,,,,
9,58.021550419465676,0.320761829676953,0.0011478749802336097,Repo_ALS,42,5,primary,0.012398291961289942,,,,
10,58.01982734364925,0.32075230395853366,0.0012785830767825246,Repo_ALS,42,5,primary,0.013676875038072467,,,,
11,58.01915677359229,0.32074859683115015,0.0011992920190095901,Repo_ALS,42,5,primary,0.014876167057082057,,,,
12,58.01887937692589,0.3207470632929799,0.001181375002488494,Repo_ALS,42,5,primary,0.01605754205957055,,,,
13,58.01875897219575,0.32074639765682816,0.0012157500023022294,Repo_ALS,42,5,primary,0.01727329206187278,,,,
14,58.01870474325298,0.32074609786175584,0.0012699170038104057,Repo_ALS,42,5,primary,0.018543209065683186,,,,
15,58.018679614198305,0.3207459589402431,0.0011531660566106439,Repo_ALS,42,5,primary,0.01969637512229383,,,,
1,79.48309593137849,0.43940816980968445,0.015240416978485882,Repo_SGD,42,5,primary,0.015240416978485882,,,,
2,76.04420540238915,0.4203968746932531,0.015567875001579523,Repo_SGD,42,5,primary,0.030808291980065405,,,,
3,74.6802068931684,0.41285625135018056,0.015747667057439685,Repo_SGD,42,5,primary,0.04655595903750509,,,,
4,74.09500322533927,0.4096210568772738,0.015191875048913062,Repo_SGD,42,5,primary,0.06174783408641815,,,,
5,73.74704816241568,0.40769744915183653,0.015025709057226777,Repo_SGD,42,5,primary,0.07677354314364493,,,,
6,73.42749936539269,0.40593088041895803,0.015395458089187741,Repo_SGD,42,5,primary,0.09216900123283267,,,,
7,73.04569273492612,0.40382013031859254,0.015186334028840065,Repo_SGD,42,5,primary,0.10735533526167274,,,,
8,72.53800492860356,0.40101346850960246,0.015173707972280681,Repo_SGD,42,5,primary,0.12252904323395342,,,,
9,71.85931777533015,0.39726146720166805,0.014962624991312623,Repo_SGD,42,5,primary,0.13749166822526604,,,,
10,70.99322768713206,0.39247344207398566,0.015246958006173372,Repo_SGD,42,5,primary,0.1527386262314394,,,,
11,69.94331579248565,0.3866691907588847,0.015113541972823441,Repo_SGD,42,5,primary,0.16785216820426285,,,,
12,68.75558433956036,0.3801030285096703,0.014890124904923141,Repo_SGD,42,5,primary,0.182742293109186,,,,
13,67.48907694196237,0.3731013674507022,0.015104042016901076,Repo_SGD,42,5,primary,0.19784633512608707,,,,
14,66.17882534232344,0.3658578743451416,0.014812208013609052,Repo_SGD,42,5,primary,0.21265854313969612,,,,
15,64.85610357141691,0.3585454421139757,0.014825624995864928,Repo_SGD,42,5,primary,0.22748416813556105,,,,
1,72.35056277169821,0.39997722785810513,0.028922708006575704,NBMF_SA,42,5,primary,0.028922708006575704,0.00035274995025247335,0.0004302490269765258,0.027006043819710612,2.7622096240520477e-05
2,69.12472983623034,0.3821437837820277,0.02609254198614508,NBMF_SA,42,5,primary,0.05501524999272078,0.0003712080651894212,0.00041016098111867905,0.025248627527616918,2.579588908702135e-05
3,68.01232071419305,0.37599402765254814,0.025638667051680386,NBMF_SA,42,5,primary,0.08065391704440117,0.0003370000049471855,0.0003938749432563782,0.024855497758835554,2.4585402570664883e-05
4,67.53868500293633,0.373375616799258,0.025153374997898936,NBMF_SA,42,5,primary,0.1058072920423001,0.0003485830966383219,0.0003733801422640681,0.024378957226872444,2.3494125343859196e-05
5,67.12751617641707,0.3711025430163796,0.02540745900478214,NBMF_SA,42,5,primary,0.13121475104708225,0.0006369169568642974,0.00038700189907103777,0.02433450089301914,2.3745116777718067e-05
6,66.88076335004598,0.36973841386966527,0.0247159170685336,NBMF_SA,42,5,primary,0.15593066811561584,0.00032887503039091825,0.0003776658559218049,0.023959754616953433,2.403929829597473e-05
7,66.66940637872555,0.3685699644169086,0.025631625088863075,NBMF_SA,42,5,primary,0.18156229320447892,0.0003375420346856117,0.0004031226271763444,0.024836700758896768,2.4997047148644924e-05
8,66.55650300817301,0.3679457981984378,0.024526832974515855,NBMF_SA,42,5,primary,0.20608912617899477,0.0003289589658379555,0.0003761276602745056,0.02377266902476549,2.3870845325291157e-05
9,66.43142296691465,0.36725431542005554,0.024554917006753385,NBMF_SA,42,5,primary,0.23064404318574816,0.00032275007106363773,0.0003859159769490361,0.023795664310455322,2.5372370146214962e-05
10,66.00550262230036,0.3648996904910863,0.025077416910789907,NBMF_SA,42,5,primary,0.25572146009653807,0.00033062498550862074,0.0003886215854436159,0.02430074126459658,2.5044777430593967e-05
11,65.94982435907002,0.36459188310817625,0.02733858290594071,NBMF_SA,42,5,primary,0.2830600430024788,0.00034616701304912567,0.00044162129051983356,0.026484795846045017,2.8915121220052242e-05
12,65.83467602545325,0.3639553060103885,0.026461959001608193,NBMF_SA,42,5,primary,0.30952200200408697,0.0003571669803932309,0.0004229999613016844,0.025615751859731972,2.7251779101788998e-05
13,65.83467602545325,0.3639553060103885,0.024806292029097676,NBMF_SA,42,5,primary,0.33432829403318465,0.0003389159683138132,0.00036891759373247623,0.0240487054688856,2.3124273866415024e-05
14,65.83467602545325,0.3639553060103885,0.02387908403761685,NBMF_SA,42,5,primary,0.3582073780708015,0.00033075001556426287,0.0003612876171246171,0.023140958044677973,2.2413209080696106e-05
15,65.83467602545325,0.3639553060103885,0.024741249973885715,NBMF_SA,42,5,primary,0.3829486280446872,0.0003190829884260893,0.0003799184923991561,0.023986959015019238,2.3539410904049873e-05
1,72.35056277169821,0.39997722785810513,0.12169637507759035,NBMF_PathIntegral,42,5,primary,0.12169637507759035,0.0003492500400170684,0.0004638716345652938,0.12081392179243267,2.8581824153661728e-05
2,69.12472983623034,0.3821437837820277,0.1183007910149172,NBMF_PathIntegral,42,5,primary,0.23999716609250754,0.0003366670571267605,0.0003998781321570277,0.11751021153759211,2.3454776965081692e-05
3,68.01232071419305,0.37599402765254814,0.11750991700682789,NBMF_PathIntegral,42,5,primary,0.35750708309933543,0.0003279580269008875,0.00038828898686915636,0.11673516256269068,2.350227441638708e-05
4,67.53868500293633,0.373375616799258,0.11764879210386425,NBMF_PathIntegral,42,5,primary,0.4751558752031997,0.0003245830303058028,0.00038729608058929443,0.11687720974441618,2.41247471421957e-05
5,67.12751617641707,0.3711025430163796,0.11568825005088001,NBMF_PathIntegral,42,5,primary,0.5908441252540797,0.0003245000261813402,0.0003667083801701665,0.11494641902390867,2.2583757527172565e-05
6,66.88076335004598,0.36973841386966527,0.11718445806764066,NBMF_PathIntegral,42,5,primary,0.7080285833217204,0.00032895803451538086,0.0003924566553905606,0.11640845728106797,2.4878187105059624e-05
7,66.66940637872555,0.3685699644169086,0.11833241698332131,NBMF_PathIntegral,42,5,primary,0.8263610003050417,0.0003317079972475767,0.00039566378109157085,0.11754874826874584,2.6129302568733692e-05
8,66.55650300817301,0.3679457981984378,0.11509174993261695,NBMF_PathIntegral,42,5,primary,0.9414527502376586,0.0003279170487076044,0.00036316714249551296,0.11435278772842139,2.2336840629577637e-05
9,66.43142296691465,0.36725431542005554,0.11578995792660862,NBMF_PathIntegral,42,5,primary,1.0572427081642672,0.0003221250372007489,0.00035429117269814014,0.11506654066033661,2.1456973627209663e-05
10,66.00550262230036,0.3648996904910863,0.11730837495997548,NBMF_PathIntegral,42,5,primary,1.1745510831242427,0.0003284580307081342,0.00035854149609804153,0.11657395679503679,2.2120773792266846e-05
11,65.94982435907002,0.36459188310817625,0.11971441702917218,NBMF_PathIntegral,42,5,primary,1.294265500153415,0.0003255830379202962,0.00042800093069672585,0.11890016822144389,2.5793560780584812e-05
12,65.83467602545325,0.3639553060103885,0.12155966693535447,NBMF_PathIntegral,42,5,primary,1.4158251670887694,0.000406875042244792,0.000485873781144619,0.12059474387206137,2.9708491638302803e-05
