data_source,matrix_size,n,m,rank,sampler,seed,final_error,final_relative_error,total_runtime,avg_iter_time,total_nnls_time,total_qubo_build_time,total_annealing_time,total_postprocess_time,num_qubo_solves,avg_qubo_solve_time,feasible
synthetic,10x10,10,10,2,simulated_annealing,42,6.075000622166257e-16,9.484421575247273e-17,0.052665875000002416,0.0035110583333334945,0.0008707900005902047,0.0006389570012288459,0.05090574500036382,7.670399963899399e-05,150,0.0003393716333357588,
synthetic,10x10,10,10,2,simulated_annealing,43,5.98839006449065e-16,1.0566017696349146e-16,0.049211874999855354,0.0032807916666570238,0.0007821240005796426,0.0006250730011743144,0.047553449999668373,7.25799973224639e-05,150,0.00031702299999778914,
synthetic,10x10,10,10,5,simulated_annealing,42,2.330210854358529e-15,1.9168576106261054e-16,0.07447999999976673,0.004965333333317782,0.000941959999181563,0.0010374529965702095,0.07226540900182954,7.058600158416084e-05,150,0.00048176939334553025,
synthetic,10x10,10,10,5,simulated_annealing,43,2.3782900692873595e-15,1.5570784105380676e-16,0.07623166599978504,0.005082111066652336,0.0009325429991804413,0.001024785997287836,0.07404499500034945,6.988000131968874e-05,150,0.0004936333000023297,
synthetic,20x20,20,20,2,simulated_annealing,42,2.0383465890949934e-15,1.316655174361487e-16,0.09917012500000055,0.006611341666666703,0.001443001998723048,0.0012070379966644396,0.09617615600018325,0.00014365500146595878,300,0.0003205871866672775,
synthetic,20x20,20,20,2,simulated_annealing,43,2.232616071049176e-15,1.576520594364175e-16,0.09525883400010571,0.006350588933340381,0.0014610419993914547,0.0011747450025723083,0.09228066199784735,0.00013851800076736254,300,0.00030760220665949114,
synthetic,20x20,20,20,5,simulated_annealing,42,5.132347610756001e-15,2.0188819660483103e-16,0.15245208399983312,0.010163472266655541,0.001908168999307236,0.0021035760005361226,0.14804569499619902,0.00014911800099071115,300,0.00049348564998733,
synthetic,20x20,20,20,5,simulated_annealing,43,5.352348096282305e-15,1.9534701451716657e-16,0.15748166699995636,0.01049877779999709,0.001873208000233717,0.0020991120018152287,0.1531308160028857,0.00015448299564013723,300,0.0005104360533429523,
synthetic,20x20,20,20,10,simulated_annealing,42,0.5650688889705151,0.009810266727678043,0.28823925000006057,0.019215950000004037,0.003177125998718111,0.005180902996471559,0.2794704409998303,0.0001486680007474206,300,0.0009315681366661011,
synthetic,20x20,20,20,10,simulated_annealing,43,1.0042610110910397e-14,1.824672606237446e-16,0.27146866699968086,0.018097911133312057,0.0032139560003088263,0.0052062789945921395,0.26262782400181095,0.0001478340118410415,300,0.0008754260800060365,
