k,inertia,silhouette
16,1526626.125,0.9285262823104858
24,1526796.875,0.6726250052452087
32,1528475.875,0.19822992384433746
40,1528510.0,-0.3946782350540161
48,1528409.125,-0.3838208019733429
64,1526492.5,-0.3086543679237366
