method,k,gamma,silhouette,davies_bouldin
agglo_average,12,7.0,0.5630238369341635,6.609252692504051
agglo_average,9,1.75,0.563000123996978,17.889488186848304
agglo_average,7,3.0,0.562887663384419,6.662989478862982
agglo_average,11,5.0,0.5628589472149454,4.289872022815081
qlloyd_mean,9,6.0,0.5628052628408304,4.786349277393977
qlloyd_medoid,8,2.5,0.5628022051206439,8.40119406244542
qlloyd_medoid,12,2.0,0.5627694847813384,7.047592427435241
qlloyd_mean,11,7.0,0.5627540453687914,3.1635081319509832
qlloyd_mean,9,7.0,0.5625968417117772,4.351797779201484
qlloyd_mean,9,5.0,0.5625731262303604,4.555328228017826
qlloyd_mean,10,7.0,0.5625478349356028,4.331707408501915
agglo_average,10,5.0,0.5624193312730774,10.017629057956693
agglo_average,6,4.0,0.5623955220465124,7.364525584311995
agglo_average,7,2.5,0.5622534045937071,9.246081001852698
qlloyd_mean,9,8.0,0.5622429301769126,4.245960588172055
agglo_average,7,2.0,0.5622373981857245,6.334724712616473
qlloyd_medoid,12,4.0,0.5621697009627018,10.685315451854429
qlloyd_medoid,9,2.5,0.5621682634530595,8.118692626421801
agglo_average,9,8.0,0.562122798050634,9.570731450524217
agglo_average,10,1.5,0.5621116811163177,17.78553800685011
qlloyd_medoid,11,3.0,0.5620806333878315,7.6086594449539895
qlloyd_medoid,8,2.25,0.5619561540140573,6.204112027678866
qlloyd_medoid,8,6.0,0.5619354161801025,4.967161796574469
qlloyd_medoid,10,3.0,0.5616712682334342,8.82187212361309
agglo_average,6,3.0,0.5616575009306438,7.073553256598989
qlloyd_mean,11,8.0,0.561642496429975,2.9391167407087595
qlloyd_medoid,7,2.5,0.5616331126092455,9.91503832437007
agglo_average,11,7.0,0.5616167972335074,6.865032559398473
qlloyd_mean,4,7.0,0.5615690843139209,1.8978597837751003
qlloyd_mean,12,8.0,0.5615075570391642,2.5639309159067603
qlloyd_mean,8,7.0,0.5615038670569725,1.9194826632843363
qlloyd_mean,12,7.0,0.5614676761181403,2.6125709807213964
qlloyd_medoid,12,3.0,0.5614243441913459,8.683574944262546
qlloyd_mean,8,8.0,0.5613981617790256,1.851932886098977
qlloyd_mean,4,8.0,0.5613963858806189,1.824507515356429
qlloyd_mean,4,6.0,0.5613830504470954,1.9235092767090307
qlloyd_mean,8,6.0,0.5613672603040373,1.9313694456181507
qlloyd_mean,10,8.0,0.5613423918982962,5.295439310549906
agglo_average,8,8.0,0.5612421977001988,9.657621601979375
agglo_average,6,2.25,0.5610514021087591,5.754122460179608
agglo_average,8,4.0,0.5608844264010001,6.073265585170999
qlloyd_mean,8,5.0,0.5608178769485761,1.790150040516088
qlloyd_mean,10,5.0,0.5606707558587176,3.794610657763805
agglo_average,8,6.0,0.5606483333323533,7.301000995238179
qlloyd_medoid,7,6.0,0.5605928251725556,6.196874343723603
qlloyd_medoid,9,2.25,0.5605670522930617,9.349665805530236
qlloyd_medoid,11,5.0,0.5605350358958634,9.174612225210181
qlloyd_medoid,8,4.0,0.5603920487285908,13.344725057700675
agglo_average,9,4.0,0.560390792842921,5.4290707169864625
qlloyd_medoid,8,5.0,0.5603479351054002,9.552626960264385
agglo_average,8,1.75,0.5602392323518268,19.286447260130608
