latent_feature,feature_idx,variance,variance_share_pct,selected_by_qubo
latent_00,0,1.0271642208099365,12.509271233423643,1
latent_01,1,0.6891010999679565,8.3921853897448,1
latent_02,2,0.5474803447723389,6.667463672289184,1
latent_03,3,0.44060906767845154,5.365936842260332,1
latent_04,4,0.4362033009529114,5.312281419062748,1
latent_05,5,0.38129523396492004,4.643586103415774,1
latent_06,6,0.377423495054245,4.5964343128866565,1
latent_07,7,0.3371751308441162,4.106271499184753,1
latent_08,8,0.308645099401474,3.758819850866334,1
latent_09,9,0.3017759621143341,3.6751643849499875,0
latent_10,10,0.2282290756702423,2.7794770817284022,1
latent_11,11,0.20996271073818207,2.5570210140864975,0
latent_12,12,0.18209002912044525,2.2175748697453312,0
latent_13,13,0.17793385684490204,2.1669591208375176,0
latent_14,14,0.17702700197696686,2.155915031409046,1
latent_15,15,0.17537793517112732,2.135831948744799,1
latent_16,16,0.16845180094242096,2.0514823482518327,0
latent_17,17,0.16688871383666992,2.0324463653280027,0
latent_18,18,0.16261468827724457,1.9803953457361416,1
latent_19,19,0.1525685340166092,1.858048727782481,0
latent_20,20,0.1500958502292633,1.8279352643812647,1
latent_21,21,0.1463172286748886,1.781917499203597,1
latent_22,22,0.1452886462211609,1.7693909560871763,0
latent_23,23,0.1441483050584793,1.7555033647813054,0
latent_24,24,0.13994258642196655,1.7042842178428357,0
latent_25,25,0.13725382089614868,1.671539213135591,0
latent_26,26,0.13594159483909607,1.6555583297143466,0
latent_27,27,0.11765942722558975,1.4329098098584534,1
latent_28,28,0.11618247628211975,1.4149228321425058,0
latent_29,29,0.11379729211330414,1.3858749787370828,0
latent_30,30,0.10963389277458191,1.3351712153796849,0
latent_31,31,0.10694508999586105,1.3024257569897102,0
