model,rmse,mae,hr@10,ndcg@10,precision@10,k_clusters
item_cf_cosine,1.442747249280716,1.1262210717797279,0.35,0.31171686745887484,0.035,16
content_based_cosine,1.4446800476478705,1.143086737344234,0.0075,0.0044672093629535385,0.0007500000000000001,16
